ANZSCOUnit,ANZSCOUnitCode,essential_v_non
Freight and Furniture Handlers,8911,0
Shelf Fillers,8912,1
Miscellaneous Labourers,8990,0
Caretakers,8991,0
Deck and Fishing Hands,8992,1
Handypersons,8993,0
Motor Vehicle Parts and Accessories Fitters,8994,0
Printing Assistants and Table Workers,8995,0
Recycling and Rubbish Collectors,8996,1
Vending Machine Attendants,8997,0
Other Miscellaneous Labourers,8999,0
Managers,1000,0
"Chief Executives, General Managers and Legislators",1110,0
Chief Executives and Managing Directors,1111,0
General Managers,1112,0
Legislators,1113,0
Farmers and Farm Managers,1210,1
Aquaculture Farmers,1211,1
Crop Farmers,1212,1
Livestock Farmers,1213,1
Mixed Crop and Livestock Farmers,1214,1
Specialist Managers,1300,0
"Advertising, Public Relations and Sales Managers",1311,0
Business Administration Managers,1320,0
Corporate Services Managers,1321,0
Finance Managers,1322,1
Human Resource Managers,1323,0
Policy and Planning Managers,1324,0
Research and Development Managers,1325,0
"Construction, Distribution and Production Managers",1330,0
Construction Managers,1331,0
Engineering Managers,1332,1
"Importers, Exporters and Wholesalers",1333,0
Manufacturers,1334,0
Production Managers,1335,1
"Supply, Distribution and Procurement Managers",1336,0
"Education, Health and Welfare Services Managers",1340,1
Child Care Centre Managers,1341,1
Health and Welfare Services Managers,1342,1
School Principals,1343,1
Other Education Managers,1344,1
ICT Managers,1351,0
Miscellaneous Specialist Managers,1390,0
Commissioned Officers (Management),1391,1
Senior Non-commissioned Defence Force Members,1392,0
Other Specialist Managers,1399,0
"Hospitality, Retail and Service Managers",1400,0
Accommodation and Hospitality Managers,1410,0
Cafe and Restaurant Managers,1411,0
Caravan Park and Camping Ground Managers,1412,0
Hotel and Motel Managers,1413,0
Licensed Club Managers,1414,0
Other Accommodation and Hospitality Managers,1419,0
Retail Managers,1421,0
"Miscellaneous Hospitality, Retail and Service Managers",1490,0
"Amusement, Fitness and Sports Centre Managers",1491,0
Call or Contact Centre and Customer Service Managers,1492,0
Conference and Event Organisers,1493,0
Transport Services Managers,1494,0
"Other Hospitality, Retail and Service Managers",1499,0
